Date,Unemployment Rate(%)
Nov-19,4.7
Dec-19,4.8
Jan-20,4.8
Feb-20,4.8
Mar-20,4.9
Apr-20,4.7
May-20,5.1
Jun-20,5.7
Jul-20,6.8
Aug-20,7.3
Sep-20,7.4
Oct-20,6.4
Nov-20,6.2
Dec-20,6.2
Jan-21,6.8
Feb-21,7.3
Mar-21,7.6
Apr-21,7.6
May-21,7.1
Jun-21,6.5
Jul-21,5.9
Aug-21,5.5
Sep-21,5.3
Oct-21,5.2
Nov-21,5.2
Dec-21,5
Jan-22,4.9
Feb-22,4.6
Mar-22,5
Apr-22,4.6
May-22,4.2
Jun-22,4.2
Jul-22,4.3
Aug-22,4.4
Sep-22,4.4
Oct-22,4.5
Nov-22,4.5
Dec-22,4.4
Jan-23,4.4
Feb-23,4.3
